perturbation,family,key,spearman,overlap_pct,swaps_top10,entered_top40,left_top40
remove sources tier-4 regional media,source-family,brokerage,0.876,82.5,3,ghazi-chaouachi;ahmed-mestiri;ahmed-ben-salah;mongi-slim;habib-bourguiba-jr;leila-jaffel;habib-boulares,brahim-bouderbala;zied-krichen;rafik-abdessalem;sara-zaafarani;hamadi-jebali;mehdi-jomaa;zouheir-mejri
remove sources tier-4 regional media,source-family,reach,1,100,0,,
remove sources tier-4 regional media,source-family,influence,1,100,0,,
remove sources tier-4 regional media,source-family,composite,0.986,90,1,marouane-mabrouk;chokri-riahi;sadok-mokaddem;ridha-chalghoum,brahim-bouderbala;mohamed-salah-hamdi;faouzi-elloumi;hassine-gharbi
remove sources tier-5 leads,source-family,authority,0.997,97.5,0,lotfi-brahem,mohamed-ennaceur
remove sources tier-5 leads,source-family,proximity,0.997,97.5,0,ali-chebbi,mohamed-ennaceur
remove sources tier-5 leads,source-family,survival,0.997,92.5,0,ghazi-chaouachi;maya-jribi;zouhair-maghzaoui,kamel-morjane;brahim-bouderbala;issam-chebbi
remove sources tier-5 leads,source-family,brokerage,0.861,92.5,2,maya-jribi;ahmed-mestiri;lotfi-brahem,kamel-morjane;hamadi-jebali;mehdi-jomaa
remove sources tier-5 leads,source-family,reach,1,100,0,,
remove sources tier-5 leads,source-family,influence,1,100,0,,
remove sources tier-5 leads,source-family,composite,0.969,92.5,1,marouane-mabrouk;chokri-riahi;najet-jaouadi,kamel-morjane;mohamed-ennaceur;mustapha-ben-jaafar
snapshot 1990-01-01,snapshot,authority,0.85,11.8,0,chedli-neffati;hamed-karoui;slaheddine-baly;abdelhamid-el-fehri;mohamed-chadhli-cherif;abderrahmane-belhaj-ali;abdelhamid-escheikh;ismail-khelil;mohamed-ghannouchi;rached-ghannouchi;mustapha-bouaziz;kacem-bousnina;ahmed-nejib-chebbi;abdelwahab-ben-ayed;faouzi-elloumi,bourguiba;fouad-mebazaa;beji-caid-essebsi;kais-saied;mohamed-ennaceur;rejeb-khaznadar;moustapha-khodja;youssef-saheb-ettabaa;mohamed-larbi-zarrouk;hussein-khodja;shakir-saheb-ettabaa;mustapha-saheb-ettabaa;mustapha-khaznadar;hayreddin-pasha;mohammed-khaznadar;mustapha-ben-ismail;mohamed-aziz-bouattour;mhamed-djellouli;youssef-djait;taieb-djellouli;mustapha-dinguizli;khelil-bouhageb;hedi-lakhoua;mohamed-chenik;slaheddine-baccouche;mustapha-kaak;mohamed-salah-mzali;tahar-ben-ammar;rachid-ammar;ali-laarayedh;habib-essid;hichem-mechichi;ghazi-jeribi;taieb-mehiri;hedi-khefacha;ahmed-mestiri;tahar-belkhodja;habib-ammar
snapshot 1990-01-01,snapshot,proximity,0.92,11.8,0,abdelhamid-escheikh;abderrahmane-belhaj-ali;chedli-neffati;hamed-karoui;mustapha-bouaziz;abdelwahab-ben-ayed;kacem-bousnina;mohamed-ghannouchi;abdelhamid-el-fehri;mohamed-chadhli-cherif;ismail-khelil;rached-ghannouchi;faouzi-elloumi;ahmed-nejib-chebbi,bourguiba;fouad-mebazaa;beji-caid-essebsi;kais-saied;kamel-akrout;selma-elloumi;yadh-ben-achour;mohamed-ennaceur;nadia-akacha;ridha-belhaj;bahi-ladgham;mohammed-mzali;rachid-sfar;sadok-mokaddem;mongi-slim;habib-bourguiba-jr;mohamed-masmoudi;habib-chatti;mohamed-fitouri;hassen-belkhodja;hedi-mabrouk;mahmoud-mestiri;hassib-ben-ammar;bechir-mhedhbi;abdallah-farhat;hedi-baccouche;hamadi-jebali;ali-laarayedh;mehdi-jomaa;habib-essid;youssef-chahed;elyes-fakhfakh;hichem-mechichi;najla-bouden;ahmed-hachani;kamel-madouri;sara-zaafarani
snapshot 1990-01-01,snapshot,survival,0.98,17.6,0,ahmed-nejib-chebbi;mohamed-ghannouchi;abdelhamid-el-fehri;hamed-karoui;mohamed-chadhli-cherif;slaheddine-baly;ismail-khelil;abdelhamid-escheikh;chedli-neffati;kacem-bousnina;mustapha-bouaziz,mustapha-ben-jaafar;beji-caid-essebsi;kais-saied;youssef-chahed;hassine-gharbi;khelifa-harroum;kamel-morjane;othman-jarandi;marouane-abassi;mohamed-salah-hamdi;mohamed-el-ghoul;adel-jehane;mohamed-hajem;abdelhamid-belati;nouri-ben-taous;kamel-akrout;mohamed-habib-dhif;khaled-yahyaoui;mohsen-marzouk;abir-moussi;nabil-karoui;marouane-mabrouk;selma-elloumi;nouri-lajmi;sami-essid;sami-fehri;noureddine-boutar;taoufik-habaieb;nejib-ktari;abdessalem-mehdi-grissiaa;brahim-bouderbala;noureddine-taboubi;habib-benhadj-kouider;issam-chebbi
snapshot 1990-01-01,snapshot,brokerage,0.777,23.5,0,slaheddine-baly;abdelhamid-escheikh;abderrahmane-belhaj-ali;chedli-neffati;mohamed-ghannouchi;hamed-karoui;mustapha-bouaziz;faouzi-elloumi;kacem-bousnina;abdelhamid-el-fehri;mohamed-chadhli-cherif,bourguiba;mohamed-ennaceur;marouane-mabrouk;tahar-ben-ammar;kais-saied;nabil-karoui;youssef-chahed;beji-caid-essebsi;ali-laarayedh;aziz-miled;brahim-bouderbala;hedi-nouira;fouad-mebazaa;nesrine-ben-ali;zied-krichen;sakher-el-materi;rafik-abdessalem;selma-elloumi;rachid-sfar;ayachi-hammami;kamel-eltaief;ghazi-jeribi;sarra-rejeb;cyrine-ben-ali;fadhel-abdelkefi;ali-seriati;sara-zaafarani;ridha-belhaj;kamel-guizani;kamel-morjane;hamadi-jebali;mehdi-jomaa;hichem-mechichi;zouheir-mejri
snapshot 1990-01-01,snapshot,reach,1,5.9,0,mohamed-ghannouchi;ismail-khelil;faouzi-elloumi;ahmed-nejib-chebbi;moncef-marzouki;hamed-karoui;mustapha-bouaziz;rached-ghannouchi;abdelwahab-ben-ayed;kacem-bousnina;abdelhamid-el-fehri;mohamed-chadhli-cherif,hassen-belkhodja;kamel-morjane;nabil-karoui;sakher-el-materi;abdelwahab-abdallah;sihem-bensedrine;bochra-belhaj-hmida;ayachi-hammami;chokri-belaid;mohammed-mzali;rachid-sfar;mongi-slim;habib-bourguiba-jr;mohamed-masmoudi;habib-chatti;mohamed-fitouri;hedi-mabrouk;mahmoud-mestiri;bechir-mhedhbi;ali-laarayedh;mehdi-jomaa;habib-essid;hichem-mechichi;habib-ammar;lotfi-brahem;kamel-feki;khaled-nouri;khaled-shili;abdallah-kallel;mohamed-jegham;rafiq-belhaj-kacem;mohamed-naceur-ghannouchi;mohamed-najem-gharsalli;lotfi-ben-jeddou;hedi-majdoub
snapshot 1990-01-01,snapshot,influence,0.896,11.8,0,abdelhamid-escheikh;abderrahmane-belhaj-ali;chedli-neffati;mohamed-ghannouchi;ismail-khelil;hamed-karoui;mustapha-bouaziz;rached-ghannouchi;faouzi-elloumi;abdelwahab-ben-ayed;ahmed-nejib-chebbi;kacem-bousnina;abdelhamid-el-fehri;mohamed-chadhli-cherif,kais-saied;khaled-yahyaoui;kamel-eltaief;mohamed-habib-dhif;wassila-bourguiba;bourguiba;fouad-mebazaa;mustapha-ben-jaafar;bahi-ladgham;mohammed-mzali;rachid-sfar;sadok-mokaddem;mongi-slim;habib-bourguiba-jr;mohamed-masmoudi;habib-chatti;mohamed-fitouri;hassen-belkhodja;hedi-mabrouk;mahmoud-mestiri;hassib-ben-ammar;bechir-mhedhbi;abdallah-farhat;beji-caid-essebsi;hedi-baccouche;hamadi-jebali;ali-laarayedh;mehdi-jomaa;habib-essid;youssef-chahed;elyes-fakhfakh;hichem-mechichi;najla-bouden;ahmed-hachani;kamel-madouri;sara-zaafarani;ahmed-bouhali
