dimension,value,records,with_sources,reviewed,with_evidence,origins_known,nonzero,distinct_sources,sparse
source_family,ilboursa,5,3,0,0,0,3,5,0
source_family,ilboursa com,7,5,0,0,0,5,7,0
source_family,ilboursa com donnees bvmt,6,2,0,0,0,2,6,1
source_family,ilboursa com o e o,1,1,0,0,0,1,1,1
source_family,ilboursa com omar el oudi,3,3,0,0,0,3,3,0
source_family,inkyfada,4,3,0,0,0,3,4,0
source_family,instance superieure independante pour les elections,2,2,0,0,0,2,2,1
source_family,institut national de la statistique ins,1,0,0,0,0,0,1,1
source_family,international commission of jurists,1,1,0,0,0,1,1,1
source_family,international monetary fund,2,0,0,0,0,0,2,1
source_family,jadaliyya,1,1,0,0,0,1,1,1
source_family,japan international cooperation agency,2,0,0,0,0,0,2,1
source_family,jawhara fm,3,3,0,0,0,3,3,0
source_family,jeune afrique,21,20,0,0,0,20,21,0
source_family,jeune afrique camille lafrance,2,2,0,0,0,2,2,1
source_family,jort n 2023 112 via 9anoun,1,1,0,0,0,1,1,1
source_family,jort n 2024 099 via 9anoun,1,1,0,0,0,1,1,1
source_family,jort n 2025 033 via 9anoun,2,2,0,0,0,2,2,1
source_family,jort via 9anoun tn,2,2,0,0,0,2,2,1
source_family,jort via legislation securite tn,3,3,0,0,0,3,3,0
source_family,journal officiel de la republique tunisienne,2,2,0,0,0,2,2,1
source_family,journal officiel de la republique tunisienne archive jort,2,2,0,0,0,2,2,1
source_family,journal officiel de la republique tunisienne n 2016 027 via 9anoun tn,3,0,0,0,0,0,3,1
source_family,journal officiel de la republique tunisienne via 9anoun,11,10,0,0,0,10,11,0
source_family,journal officiel de la republique tunisienne via ar wiki dcaf,1,0,0,0,0,0,1,1
source_family,journal officiel de la republique tunisienne via ar wiki footnote,3,3,0,0,0,3,3,0
source_family,journal officiel de la republique tunisienne via cnudst sommaire scan,1,1,0,0,0,1,1,1
source_family,journal officiel de la republique tunisienne via legislation securite tn dcaf,2,2,0,0,0,2,2,1
source_family,jurisitetunisie base de textes legaux tunisiens,1,0,0,0,0,0,1,1
source_family,jurist,1,1,0,0,0,1,1,1
source_family,kapitalis,57,45,0,0,0,45,57,0
source_family,kapitalis avec tap,1,0,0,0,0,0,1,1
source_family,kuna,1,0,0,0,0,0,1,1
source_family,l economiste maghrebin,17,7,0,0,0,7,17,0
source_family,l economiste maghrebin tap,1,0,0,0,0,0,1,1
source_family,l orient le jour afp,1,0,0,0,0,0,1,1
source_family,la depeche du midi afp,1,1,0,0,0,1,1,1
